rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
349,Camilo Ugo Carabelli,Argentina,ARG,124,349,2018-10-15,0,0,124
350,Alessandro Bega,Italy,ITA,124,259,2016-07-25,0,0,196
351,Vladyslav Orlov,Ukraine,UKR,123,350,2021-01-04,0,0,123
352,Jan Choinski,Germany,GER,122,234,2018-04-16,0,0,233
353,Konstantin Kravchuk,Russian Federation,RUS,122,78,2016-11-07,0,0,707
354,Peter Torebko,Germany,GER,121,182,2012-07-16,0,0,275
355,Jiri Lehecka,Czech Republic,CZE,120,351,2020-12-07,0,0,120
356,Nikolas Sanchez Izquierdo,Spain,ESP,120,350,2020-03-02,0,0,120
357,Skander Mansouri,Tunisia,TUN,119,303,2019-11-18,0,0,134
358,Maxime Hamou,France,FRA,119,211,2015-07-27,0,0,229
359,Carlos Gomez Herrera,Spain,ESP,118,268,2018-05-07,0,0,198
360,Baptiste Crepatte,France,FRA,118,276,2019-08-12,0,0,158
361,Facundo Arguello,Argentina,ARG,117,104,2014-04-14,0,0,562
362,Jan Satral,Czech Republic,CZE,117,136,2016-10-03,0,0,432
363,Jules Okala,France,FRA,117,338,2020-03-02,0,0,117
364,Pablo Vivero Gonzalez,Spain,ESP,117,283,2016-07-11,0,0,173
365,Yunseong Chung,"Korea, Republic of",KOR,116,233,2019-07-22,0,0,193
366,Filip Peliwo,Canada,CAN,116,161,2018-05-21,0,0,347
367,Jonas Forejtek,Czech Republic,CZE,115,355,2020-11-16,0,0,115
368,Pedro Cachin,Argentina,ARG,115,166,2015-09-14,0,0,307
369,Tsung Hua Yang,"Taiwan, Province of China",TPE,114,164,2012-05-14,0,0,320
370,Benjamin Hassan,Germany,GER,113,293,2019-08-12,2,2,141
371,Nerman Fatic,Bosnia and Herzegovina,BIH,113,334,2019-11-04,-1,0,118
372,Michael Redlicki,United States,USA,113,313,2019-11-18,-1,0,129
373,Luke Saville,Australia,AUS,111,152,2015-02-23,0,0,331
374,Edan Leshem,Israel,ISR,111,249,2017-12-18,0,0,207
375,Stefan Kozlov,United States,USA,110,115,2017-02-20,0,0,509
376,Raul Brancaccio,Italy,ITA,110,270,2019-08-19,10,3,184
377,Sandro Ehrat,Switzerland,SUI,109,286,2019-09-09,0,0,149
378,Hernan Casanova,Argentina,ARG,109,255,2018-05-21,-2,0,220
379,Ryan Peniston,United Kingdom,GBR,109,359,2019-11-04,-1,0,109
380,Aziz Dougaz,Tunisia,TUN,109,356,2020-03-02,-1,0,109
381,Denis Yevseyev,Kazakhstan,KAZ,109,280,2019-12-09,-1,0,163
382,Jeroen Vanneste,Belgium,BEL,108,314,2019-08-12,-1,0,125
383,Laurent Lokoli,France,FRA,108,207,2015-04-06,-1,0,230
384,Ergi Kirkin,Turkey,TUR,108,383,2021-01-25,-1,0,108
385,Thiago Agustin Tirante,Argentina,ARG,108,376,2020-11-30,-1,0,108
386,Rayane Roumane,France,FRA,108,358,2019-11-18,-1,0,108
387,Diego Hidalgo,Ecuador,ECU,106,358,2020-02-03,5,2,106
388,Filip Cristian Jianu,Romania,ROU,106,383,2020-09-21,8,4,106
389,Agustin Velotti,Argentina,ARG,105,166,2013-09-16,-2,0,328
390,Michael Geerts,Belgium,BEL,105,347,2019-12-02,-2,0,114
391,Antoine Escoffier,France,FRA,105,327,2020-02-03,-2,0,128
392,Dan Added,France,FRA,105,373,2020-02-03,-2,0,105
393,Daniel Nguyen,United States,USA,104,189,2015-07-13,-2,0,259
394,Karim Mohamed Maamoun,Egypt,EGY,104,225,2017-10-02,-1,0,224
395,Sadio Doumbia,France,FRA,104,250,2016-11-07,-1,0,205
396,Nuno Borges,Portugal,POR,103,396,2020-11-16,7,4,103
397,Brydan Klein,Australia,AUS,103,169,2015-09-28,-2,0,428
398,Carlos Gimeno Valero,Spain,ESP,102,385,2020-11-02,-1,1,102
